Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,total_sqft,YearsSinceRemod,Age
2926,80,RL,37.0,7937,2,4,4,CulDSac,3,Mitchel,1Fam,SLvl,6,6,1984,1984,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,3.0,6.0,819.0,1.0,0.0,184.0,1003.0,3,1,1003,0,0,1003,1.0,0.0,1,0,3,1,3,6,8,0,Detchd,1984.0,1.0,2.0,588.0,3.0,3.0,3,120,0,0,0,0,0,0,3,2006,2006.0,26,26
2072,20,RL,69.0,115149,3,1,4,CulDSac,1,ClearCr,1Fam,1Story,7,5,1971,2002,Gable,Plywood,Plywood,Stone,351.0,3,3,CBlock,4.0,3.0,4.0,6.0,1219.0,1.0,0.0,424.0,1643.0,3,1,1824,0,0,1824,1.0,0.0,2,0,2,1,4,5,8,2,Attchd,1971.0,1.0,2.0,739.0,3.0,3.0,3,380,48,0,0,0,0,0,6,2007,3467.0,8,39
1013,20,RL,53.0,15401,2,2,4,CulDSac,3,StoneBr,1Fam,1Story,9,5,2004,2004,Hip,VinylSd,VinylSd,BrkFace,296.0,5,3,PConc,5.0,3.0,4.0,6.0,1337.0,1.0,0.0,547.0,1884.0,5,1,1884,0,0,1884,1.0,0.0,2,0,2,1,5,7,8,1,Attchd,2004.0,3.0,3.0,670.0,3.0,3.0,3,214,76,0,0,0,0,0,9,2008,3768.0,6,6
1268,20,RL,60.0,7200,1,4,4,Inside,3,NAmes,1Fam,1Story,5,7,1951,1951,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,2.0,3.0,1.0,2.0,432.0,1.0,0.0,444.0,876.0,3,1,876,0,0,876,0.0,0.0,1,0,2,1,3,5,8,1,Detchd,1972.0,1.0,2.0,576.0,3.0,3.0,3,0,0,0,0,0,0,0,2,2008,1752.0,59,59
2425,120,RM,69.0,3072,1,4,4,Inside,3,Blmngtn,TwnhsE,1Story,7,5,2004,2004,Hip,VinylSd,VinylSd,BrkFace,18.0,4,3,PConc,4.0,3.0,1.0,6.0,1059.0,1.0,0.0,306.0,1365.0,5,1,1548,0,0,1548,1.0,0.0,2,0,2,1,4,7,8,1,Attchd,2004.0,3.0,2.0,388.0,3.0,3.0,3,143,20,0,0,0,0,0,9,2006,2913.0,6,6
2105,20,RL,68.0,8814,1,4,4,Inside,3,CollgCr,1Fam,1Story,7,5,2005,2007,Gable,VinylSd,VinylSd,BrkFace,80.0,4,3,PConc,4.0,3.0,1.0,6.0,925.0,1.0,0.0,349.0,1274.0,5,1,1274,0,0,1274,1.0,0.0,2,0,3,1,4,6,8,0,Attchd,2005.0,2.0,2.0,508.0,3.0,3.0,3,264,98,0,0,0,0,0,1,2007,2548.0,3,5
280,80,RL,94.0,7819,1,4,4,Inside,3,Edwards,1Fam,SLvl,6,5,1976,1976,Gable,Plywood,Plywood,None,0.0,3,3,CBlock,3.0,3.0,3.0,5.0,422.0,4.0,127.0,480.0,1029.0,3,1,1117,0,0,1117,1.0,0.0,1,0,3,1,3,6,8,1,Detchd,1976.0,1.0,2.0,672.0,3.0,3.0,3,144,0,0,0,0,0,0,3,2010,2146.0,34,34
2082,30,RL,69.0,11515,2,4,4,CulDSac,3,Edwards,1Fam,1Story,4,5,1958,1994,Gable,HdBoard,HdBoard,None,0.0,3,3,Slab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,943,0,0,943,0.0,0.0,1,0,3,1,4,5,6,0,Detchd,1958.0,1.0,1.0,308.0,3.0,3.0,1,0,0,60,0,0,0,0,8,2007,943.0,16,52
155,20,RL,60.0,7200,1,4,4,Inside,3,NAmes,1Fam,1Story,5,7,1955,2007,Gable,VinylSd,VinylSd,None,0.0,3,3,Slab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,827,0,0,827,0.0,0.0,1,0,2,1,3,5,5,1,Detchd,1967.0,1.0,1.0,392.0,3.0,3.0,3,0,0,0,0,0,0,0,4,2010,827.0,3,55
1778,20,RL,84.0,11670,2,4,4,Corner,3,Somerst,1Fam,1Story,9,5,2006,2006,Hip,VinylSd,ImStucc,Stone,302.0,5,3,PConc,5.0,4.0,1.0,1.0,0.0,1.0,0.0,1905.0,1905.0,5,1,1905,0,0,1905,0.0,0.0,2,0,3,1,5,8,8,1,Attchd,2006.0,3.0,3.0,788.0,3.0,3.0,3,0,191,0,0,0,0,0,3,2007,3810.0,4,4
1754,60,RL,69.0,8063,1,4,4,Inside,3,Gilbert,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,924.0,924.0,5,1,948,742,0,1690,0.0,0.0,2,1,3,1,3,7,8,1,Attchd,2000.0,2.0,2.0,463.0,3.0,3.0,3,100,48,0,0,0,0,0,11,2007,2614.0,10,10
470,120,RL,51.0,3635,1,4,4,Inside,3,Blmngtn,TwnhsE,1Story,7,5,2007,2007,Hip,VinylSd,VinylSd,BrkFace,130.0,4,3,PConc,4.0,3.0,1.0,5.0,988.0,1.0,0.0,398.0,1386.0,5,1,1569,0,0,1569,0.0,1.0,2,0,1,1,4,7,8,1,Attchd,2007.0,2.0,3.0,660.0,3.0,3.0,3,143,20,0,0,0,0,0,5,2009,2955.0,3,3
209,70,RL,69.0,24090,1,4,4,Inside,3,ClearCr,1Fam,2Story,7,7,1940,1950,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,2.0,1.0,0.0,1.0,0.0,1032.0,1032.0,5,1,1207,1196,0,2403,0.0,0.0,2,0,4,1,3,10,8,2,Attchd,1940.0,1.0,1.0,349.0,3.0,3.0,3,56,0,318,0,0,0,0,6,2010,3435.0,60,70
