Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,total_sqft,YearsSinceRemod,Age
2045,70,RL,107.0,12888,1,3,4,Inside,3,Sawyer,1Fam,2Story,7,8,1937,1980,Gable,Wd Sdng,Wd Sdng,None,0.0,3,4,CBlock,3.0,3.0,1.0,5.0,288.0,1.0,0.0,717.0,1005.0,3,1,1262,1005,0,2267,1.0,0.0,1,1,3,1,3,7,8,2,Attchd,1937.0,3.0,2.0,498.0,3.0,3.0,3,521,0,0,0,0,0,0,4,2007,3272.0,30,73
1962,20,RL,60.0,7200,1,4,4,Inside,3,NAmes,1Fam,1Story,5,8,1950,2002,Gable,VinylSd,VinylSd,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,398.0,4.0,149.0,317.0,864.0,4,1,864,0,0,864,1.0,0.0,1,0,3,1,4,5,8,0,Detchd,1980.0,2.0,2.0,720.0,3.0,3.0,3,194,0,0,0,0,0,0,7,2007,1728.0,8,60
954,80,RL,69.0,9947,2,4,4,CulDSac,3,Mitchel,1Fam,SLvl,7,5,1990,1991,Gable,HdBoard,HdBoard,None,0.0,3,3,PConc,4.0,3.0,3.0,6.0,611.0,1.0,0.0,577.0,1188.0,5,1,1217,0,0,1217,1.0,0.0,2,0,3,1,4,6,8,0,Attchd,1990.0,1.0,2.0,497.0,3.0,3.0,3,168,27,0,0,0,0,0,6,2009,2405.0,19,20
1105,60,RL,69.0,11929,2,4,4,CulDSac,3,NoRidge,1Fam,2Story,8,7,1995,1995,Gable,VinylSd,VinylSd,BrkFace,466.0,4,3,PConc,4.0,3.0,3.0,1.0,0.0,1.0,0.0,1242.0,1242.0,5,1,1251,1250,0,2501,0.0,0.0,2,1,4,1,4,9,8,1,Attchd,1995.0,2.0,3.0,751.0,3.0,3.0,3,192,87,0,0,0,0,0,6,2008,3743.0,15,15
909,50,RL,60.0,9900,1,4,4,Inside,3,SWISU,1Fam,1.5Fin,6,7,1940,1950,Gable,VinylSd,VinylSd,None,0.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,778.0,778.0,3,1,944,545,0,1489,0.0,0.0,2,0,3,1,3,7,8,1,Detchd,1940.0,1.0,1.0,240.0,3.0,3.0,3,335,0,0,0,0,0,0,7,2009,2267.0,60,70
303,30,RM,58.0,8154,1,4,4,Inside,3,IDOTRR,1Fam,1Story,2,5,1941,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,4.0,480.0,1.0,0.0,0.0,480.0,3,1,540,0,0,540,0.0,0.0,1,0,1,1,3,4,8,0,Detchd,1951.0,1.0,1.0,200.0,2.0,2.0,1,0,0,0,0,0,0,0,4,2010,1020.0,60,69
1462,20,RL,69.0,14860,3,4,4,CulDSac,3,CollgCr,1Fam,1Story,8,5,2002,2003,Hip,VinylSd,VinylSd,BrkFace,240.0,4,3,PConc,5.0,3.0,4.0,6.0,1538.0,1.0,0.0,240.0,1778.0,5,1,1786,0,0,1786,1.0,0.0,2,0,3,1,4,6,8,1,Attchd,2002.0,2.0,3.0,715.0,3.0,3.0,3,182,35,0,0,0,0,0,6,2008,3564.0,7,8
1172,120,FV,50.0,5119,2,4,4,CulDSac,3,Somerst,TwnhsE,1Story,9,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,60.0,4,3,PConc,5.0,3.0,3.0,6.0,1238.0,1.0,0.0,460.0,1698.0,5,1,1709,0,0,1709,1.0,0.0,2,0,2,1,4,5,8,1,Attchd,1999.0,3.0,2.0,506.0,3.0,3.0,3,97,65,0,0,0,0,0,1,2008,3407.0,10,11
2906,120,RM,32.0,4500,1,4,4,FR2,3,Mitchel,Twnhs,1Story,6,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,116.0,3,3,PConc,5.0,3.0,1.0,6.0,897.0,1.0,0.0,319.0,1216.0,5,1,1216,0,0,1216,1.0,0.0,2,0,2,1,3,5,8,0,Attchd,1998.0,1.0,2.0,402.0,3.0,3.0,3,0,125,0,0,0,0,0,5,2006,2432.0,12,12
2660,75,RM,60.0,10800,1,4,4,Inside,3,OldTown,1Fam,2.5Unf,7,7,1914,1970,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,4.0,3.0,2.0,3.0,390.0,1.0,0.0,490.0,880.0,2,0,880,888,0,1768,0.0,0.0,1,1,2,1,3,6,8,2,Detchd,1914.0,1.0,2.0,320.0,3.0,3.0,1,0,341,0,0,0,0,0,10,2006,2648.0,40,96
504,60,RL,69.0,11692,2,4,4,Inside,3,NoRidge,1Fam,2Story,8,5,1993,1994,Gable,HdBoard,HdBoard,BrkFace,372.0,4,3,PConc,4.0,3.0,1.0,6.0,624.0,1.0,0.0,549.0,1173.0,5,1,1215,1017,0,2232,1.0,0.0,2,1,3,1,4,8,8,1,Attchd,1993.0,2.0,2.0,623.0,3.0,3.0,3,173,165,0,0,0,0,0,10,2009,3405.0,16,17
1366,50,RM,69.0,7920,2,4,4,Inside,3,IDOTRR,1Fam,1.5Fin,6,7,1920,1950,Gable,MetalSd,MetalSd,None,0.0,3,2,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,319.0,319.0,3,1,1035,371,0,1406,0.0,0.0,1,0,3,1,2,6,8,0,Attchd,2005.0,0.0,0.0,0.0,0.0,0.0,1,0,144,0,0,0,0,0,3,2008,1725.0,60,90
2000,40,RM,40.0,5400,1,4,4,Corner,3,OldTown,1Fam,1Story,6,7,1926,2004,Gable,MetalSd,MetalSd,None,0.0,3,4,BrkTil,3.0,3.0,2.0,2.0,370.0,1.0,0.0,779.0,1149.0,4,1,1149,467,0,1616,0.0,0.0,2,0,3,1,4,5,8,0,Detchd,1926.0,1.0,1.0,216.0,3.0,3.0,3,0,0,183,0,0,0,0,10,2007,2765.0,6,84
595,20,RL,80.0,9600,1,4,4,Inside,3,NAmes,1Fam,1Story,5,5,1967,1967,Hip,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1568.0,1568.0,3,1,1568,0,0,1568,0.0,0.0,1,1,3,1,3,7,8,0,Attchd,1967.0,1.0,2.0,440.0,3.0,3.0,3,160,40,0,0,0,0,0,3,2009,3136.0,43,43
1264,20,RL,69.0,10920,2,4,4,Corner,3,NAmes,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3.0,3.0,1.0,4.0,733.0,1.0,0.0,520.0,1253.0,3,1,1253,0,0,1253,1.0,0.0,1,1,2,1,3,5,8,1,Attchd,1960.0,2.0,1.0,352.0,3.0,3.0,3,0,213,176,0,0,0,0,5,2008,2506.0,50,50
922,50,RL,130.0,9600,2,2,4,Inside,3,Crawfor,1Fam,1.5Fin,5,7,1940,1950,Gable,MetalSd,MetalSd,None,0.0,4,4,BrkTil,3.0,2.0,1.0,3.0,428.0,1.0,0.0,300.0,728.0,5,1,976,332,0,1308,1.0,0.0,1,1,2,1,3,7,6,2,Detchd,1940.0,1.0,1.0,256.0,3.0,3.0,3,0,70,0,0,0,0,0,6,2009,2036.0,60,70
2076,20,RL,69.0,22692,2,4,4,Inside,3,Edwards,1Fam,1Story,5,5,1953,1953,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,587.0,1.0,0.0,486.0,1073.0,3,1,1630,0,0,1630,0.0,0.0,2,0,3,1,3,6,5,1,Detchd,1953.0,1.0,2.0,649.0,3.0,3.0,2,0,64,0,0,0,0,0,3,2007,2703.0,57,57
2385,20,RL,120.0,14780,2,2,4,Corner,2,NridgHt,1Fam,1Story,9,5,2005,2005,Hip,VinylSd,VinylSd,BrkFace,568.0,5,3,PConc,5.0,3.0,4.0,6.0,1505.0,1.0,0.0,363.0,1868.0,5,1,1868,0,0,1868,1.0,0.0,2,0,2,1,5,7,8,1,Attchd,2005.0,3.0,3.0,1085.0,3.0,3.0,3,354,56,0,0,156,0,0,6,2006,3736.0,5,5
1948,45,RL,55.0,5500,1,4,4,Inside,3,OldTown,1Fam,1.5Unf,4,6,1956,1956,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,882.0,882.0,5,1,882,0,0,882,0.0,0.0,1,0,1,1,3,4,8,0,Attchd,2005.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,4,2007,1764.0,54,54
2896,20,RL,54.0,13811,2,4,4,Inside,3,Timber,1Fam,1Story,6,6,1987,1987,Gable,HdBoard,HdBoard,BrkFace,72.0,3,3,CBlock,4.0,4.0,1.0,6.0,980.0,2.0,40.0,92.0,1112.0,4,1,1137,0,0,1137,1.0,0.0,2,0,2,1,4,5,8,1,Attchd,1987.0,1.0,2.0,551.0,3.0,3.0,3,125,0,0,0,0,0,0,7,2006,2249.0,23,23
2356,20,RL,78.0,10140,1,4,4,Inside,3,NWAmes,1Fam,1Story,5,6,1975,1975,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,4.0,3.0,1.0,5.0,788.0,1.0,0.0,268.0,1056.0,5,1,1074,0,0,1074,1.0,0.0,1,1,3,1,3,6,8,0,Attchd,1975.0,2.0,2.0,495.0,3.0,3.0,3,0,88,0,0,0,0,0,7,2006,2130.0,35,35
