Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,total_sqft,YearsSinceRemod,Age
109,60,RL,69.0,13517,2,4,4,CulDSac,3,Sawyer,1Fam,2Story,6,8,1976,2005,Gable,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3.0,3.0,1.0,6.0,533.0,1.0,0.0,192.0,725.0,5,1,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,8,0,Attchd,1976.0,2.0,2.0,475.0,3.0,3.0,3,0,44,0,0,0,0,0,3,2010,130500,2204.0,5,34
544,60,RL,43.0,11492,2,4,4,CulDSac,3,SawyerW,1Fam,2Story,7,5,1996,1997,Gable,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4.0,3.0,1.0,6.0,637.0,1.0,0.0,276.0,913.0,5,1,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,8,1,Attchd,1997.0,2.0,2.0,559.0,3.0,3.0,3,0,74,0,0,0,0,0,4,2009,220000,3035.0,13,14
153,20,RL,68.0,7922,1,4,4,Inside,3,NAmes,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,6.0,731.0,1.0,0.0,326.0,1057.0,3,1,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,8,0,Detchd,1953.0,1.0,1.0,246.0,3.0,3.0,3,0,52,0,0,0,0,0,1,2010,109000,2114.0,3,57
318,60,RL,73.0,9802,1,4,4,Inside,3,Timber,1Fam,2Story,5,5,2006,2007,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,384.0,384.0,4,1,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,8,0,BuiltIn,2007.0,3.0,2.0,400.0,3.0,3.0,3,100,0,0,0,0,0,0,4,2010,174000,1828.0,3,4
255,50,RL,82.0,14235,2,4,4,Inside,3,SawyerW,1Fam,1.5Fin,6,8,1900,1993,Gable,Wd Sdng,Plywood,None,0.0,3,3,PConc,2.0,4.0,1.0,1.0,0.0,1.0,0.0,676.0,676.0,3,1,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,8,0,Detchd,1957.0,1.0,2.0,484.0,3.0,3.0,1,0,59,0,0,0,0,0,3,2010,138500,2121.0,17,110
138,20,RL,137.0,16492,2,4,4,Corner,3,NAmes,1Fam,1Story,6,6,1966,2002,Gable,BrkFace,Plywood,None,0.0,4,3,CBlock,3.0,3.0,1.0,5.0,247.0,3.0,713.0,557.0,1517.0,5,1,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,5,1,Attchd,1966.0,3.0,2.0,578.0,3.0,3.0,3,0,0,0,0,0,0,0,6,2010,190000,3405.0,8,44
2827,180,RM,35.0,3675,1,4,4,Inside,3,Edwards,TwnhsE,SFoyer,6,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4.0,3.0,4.0,6.0,547.0,1.0,0.0,0.0,547.0,4,1,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,8,0,Basment,2005.0,3.0,2.0,525.0,3.0,3.0,3,0,44,0,0,0,0,0,6,2006,140000,1619.0,4,5
145,20,RL,69.0,12160,2,4,4,Inside,3,NAmes,1Fam,1Story,5,5,1959,1959,Hip,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3.0,3.0,1.0,3.0,1000.0,1.0,0.0,188.0,1188.0,2,1,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,8,0,Attchd,1959.0,2.0,2.0,531.0,3.0,3.0,3,0,0,0,0,0,0,0,5,2010,142000,2376.0,51,51
1942,20,RL,69.0,15783,1,4,4,Inside,3,OldTown,1Fam,1Story,5,5,1952,1952,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,292.0,1.0,0.0,632.0,924.0,3,1,924,0,0,924,0.0,0.0,1,0,2,1,3,6,8,0,Detchd,1952.0,1.0,1.0,420.0,3.0,3.0,3,0,324,0,0,0,0,400,6,2007,112500,1848.0,58,58
1956,60,RL,70.0,11606,2,2,4,Inside,1,NAmes,1Fam,2Story,5,5,1969,1969,Gable,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4.0,3.0,3.0,3.0,650.0,1.0,0.0,390.0,1040.0,3,1,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,8,2,Attchd,1969.0,1.0,2.0,504.0,3.0,3.0,3,335,0,0,0,0,0,0,9,2007,135000,3120.0,41,41
